TIME,SP1_ABS,SP2_ABS,SP1_REL,SP2_REL,H1_MUL_NOISE,H2_MUL_NOISE,F_MUL_NOISE,H1_ADD_NOISE,H2_ADD_NOISE,F_ADD_NOISE,H1_NEG_SAT,H2_NEG_SAT,F_NEG_SAT,H1_POS_SAT,H2_POS_SAT,F_POS_SAT,H1_RATE_SAT,H2_RATE_SAT,F_RATE_SAT
72000,0,0,0,7.2,,,,,,0,,,,,,,,,
73000,0,0,0,7.3,,,,,,0,,,,,,,,,
74000,0,0,0,7.4,,,,,,0,,,,,,,,,
75000,0,0,0,7.5,,,,,,0,,,,,,,,,
76000,0,0,0,7.6,,,,,,0,,,,,,,,,
77000,0,0,0,7.7,,,,,,0,,,,,,,,,
78000,0,0,0,7.8,,,,,,0,,,,,,,,,
79000,0,0,0,7.9,,,,,,0,,,,,,,,,
80000,0,0,0,8,,,,,,0,,,,,,,,,
81000,0,0,0,8.1,,,,,,0,,,,,,,,,
82000,0,0,0,8.2,,,,,,0,,,,,,,,,
83000,0,0,0,8.3,,,,,,0,,,,,,,,,
84000,0,0,0,8.4,,,,,,0,,,,,,,,,
85000,0,0,0,8.5,,,,,,0,,,,,,,,,
86000,0,0,0,8.6,,,,,,0,,,,,,,,,
87000,0,0,0,8.7,,,,,,0,,,,,,,,,
88000,0,0,0,8.8,,,,,,0,,,,,,,,,
89000,0,0,0,8.9,,,,,,0,,,,,,,,,
90000,0,0,0,9,,,,,,0,,,,,,,,,
91000,0,0,0,9.1,,,,,,0,,,,,,,,,
92000,0,0,0,9.2,,,,,,0,,,,,,,,,
93000,0,0,0,9.3,,,,,,0,,,,,,,,,
94000,0,0,0,9.4,,,,,,0,,,,,,,,,
95000,0,0,0,9.5,,,,,,0,,,,,,,,,
96000,0,0,0,9.6,,,,,,0,,,,,,,,,
97000,0,0,0,9.7,,,,,,0,,,,,,,,,
98000,0,0,0,9.8,,,,,,0,,,,,,,,,
99000,0,0,0,9.9,,,,,,0,,,,,,,,,
100000,0,0,0,10,,,,,,0,,,,,,,,,
101000,0,0,0,10.1,,,,,,0,,,,,,,,,
102000,0,0,0,10.2,,,,,,0,,,,,,,,,
103000,0,0,0,10.3,,,,,,0,,,,,,,,,
104000,0,0,0,10.4,,,,,,0,,,,,,,,,
105000,0,0,0,10.5,,,,,,0,,,,,,,,,
106000,0,0,0,10.6,,,,,,0,,,,,,,,,
107000,0,0,0,10.7,,,,,,0,,,,,,,,,
108000,0,0,0,10.8,,,,,,0,,,,,,,,,
109000,0,0,0,10.9,,,,,,0,,,,,,,,,
110000,0,0,0,11,,,,,,0,,,,,,,,,
111000,0,0,0,11.1,,,,,,0,,,,,,,,,
112000,0,0,0,11.2,,,,,,0,,,,,,,,,
113000,0,0,0,11.3,,,,,,0,,,,,,,,,
114000,0,0,0,11.4,,,,,,0,,,,,,,,,
115000,0,0,0,11.5,,,,,,0,,,,,,,,,
116000,0,0,0,11.6,,,,,,0,,,,,,,,,
117000,0,0,0,11.7,,,,,,0,,,,,,,,,
118000,0,0,0,11.8,,,,,,0,,,,,,,,,
119000,0,0,0,11.9,,,,,,0,,,,,,,,,
120000,0,0,0,12,,,,,,0,,,,,,,,,
121000,0,0,0,12.1,,,,,,0,,,,,,,,,
122000,0,0,0,12.2,,,,,,0,,,,,,,,,
123000,0,0,0,12.3,,,,,,0,,,,,,,,,
124000,0,0,0,12.4,,,,,,0,,,,,,,,,
125000,0,0,0,12.5,,,,,,0,,,,,,,,,
126000,0,0,0,12.6,,,,,,0,,,,,,,,,
127000,0,0,0,12.7,,,,,,0,,,,,,,,,
128000,0,0,0,12.8,,,,,,0,,,,,,,,,
129000,0,0,0,12.9,,,,,,0,,,,,,,,,
130000,0,0,0,13,,,,,,0,,,,,,,,,
131000,0,0,0,13.1,,,,,,0,,,,,,,,,
132000,0,0,0,13.2,,,,,,0,,,,,,,,,
133000,0,0,0,13.3,,,,,,0,,,,,,,,,
134000,0,0,0,13.4,,,,,,0,,,,,,,,,
135000,0,0,0,13.5,,,,,,0,,,,,,,,,
136000,0,0,0,13.6,,,,,,0,,,,,,,,,
137000,0,0,0,13.7,,,,,,0,,,,,,,,,
138000,0,0,0,13.8,,,,,,0,,,,,,,,,
139000,0,0,0,13.9,,,,,,0,,,,,,,,,
140000,0,0,0,14,,,,,,0,,,,,,,,,
141000,0,0,0,14.1,,,,,,0,,,,,,,,,
142000,0,0,0,14.2,,,,,,0,,,,,,,,,
143000,0,0,0,14.3,,,,,,0,,,,,,,,,
144000,0,0,0,14.4,,,,,,0,,,,,,,,,
145000,0,0,0,14.5,,,,,,0,,,,,,,,,
146000,0,0,0,14.6,,,,,,0,,,,,,,,,
147000,0,0,0,14.7,,,,,,0,,,,,,,,,
148000,0,0,0,14.8,,,,,,0,,,,,,,,,
149000,0,0,0,14.9,,,,,,0,,,,,,,,,
150000,0,0,0,15,,,,,,0,,,,,,,,,
151000,0,0,0,15.1,,,,,,0,,,,,,,,,
152000,0,0,0,15.2,,,,,,0,,,,,,,,,
153000,0,0,0,15.3,,,,,,0,,,,,,,,,
154000,0,0,0,15.4,,,,,,0,,,,,,,,,
155000,0,0,0,15.5,,,,,,0,,,,,,,,,
156000,0,0,0,15.6,,,,,,0,,,,,,,,,
157000,0,0,0,15.7,,,,,,0,,,,,,,,,
158000,0,0,0,15.8,,,,,,0,,,,,,,,,
159000,0,0,0,15.9,,,,,,0,,,,,,,,,
160000,0,0,0,16,,,,,,0,,,,,,,,,
161000,0,0,0,16.1,,,,,,0,,,,,,,,,
162000,0,0,0,16.2,,,,,,0,,,,,,,,,
163000,0,0,0,16.3,,,,,,0,,,,,,,,,
164000,0,0,0,16.4,,,,,,0,,,,,,,,,
165000,0,0,0,16.5,,,,,,0,,,,,,,,,
166000,0,0,0,16.6,,,,,,0,,,,,,,,,
167000,0,0,0,16.7,,,,,,0,,,,,,,,,
168000,0,0,0,16.8,,,,,,0,,,,,,,,,
169000,0,0,0,16.9,,,,,,0,,,,,,,,,
170000,0,0,0,17,,,,,,0,,,,,,,,,
171000,0,0,0,17.1,,,,,,0,,,,,,,,,
172000,0,0,0,17.2,,,,,,0,,,,,,,,,
173000,0,0,0,17.3,,,,,,0,,,,,,,,,
174000,0,0,0,17.4,,,,,,0,,,,,,,,,
175000,0,0,0,17.5,,,,,,0,,,,,,,,,
176000,0,0,0,17.6,,,,,,0,,,,,,,,,
177000,0,0,0,17.7,,,,,,0,,,,,,,,,
178000,0,0,0,17.8,,,,,,0,,,,,,,,,
179000,0,0,0,17.9,,,,,,0,,,,,,,,,
180000,0,0,0,18,,,,,,0,,,,,,,,,
181000,0,0,0,18.1,,,,,,0,,,,,,,,,
182000,0,0,0,18.2,,,,,,0,,,,,,,,,
183000,0,0,0,18.3,,,,,,0,,,,,,,,,
184000,0,0,0,18.4,,,,,,0,,,,,,,,,
185000,0,0,0,18.5,,,,,,0,,,,,,,,,
186000,0,0,0,18.6,,,,,,0,,,,,,,,,
187000,0,0,0,18.7,,,,,,0,,,,,,,,,
188000,0,0,0,18.8,,,,,,0,,,,,,,,,
189000,0,0,0,18.9,,,,,,0,,,,,,,,,
190000,0,0,0,19,,,,,,0,,,,,,,,,
191000,0,0,0,19.1,,,,,,0,,,,,,,,,
192000,0,0,0,19.2,,,,,,0,,,,,,,,,
193000,0,0,0,19.3,,,,,,0,,,,,,,,,
194000,0,0,0,19.4,,,,,,0,,,,,,,,,
195000,0,0,0,19.5,,,,,,0,,,,,,,,,
196000,0,0,0,19.6,,,,,,0,,,,,,,,,
197000,0,0,0,19.7,,,,,,0,,,,,,,,,
198000,0,0,0,19.8,,,,,,0,,,,,,,,,
199000,0,0,0,19.9,,,,,,0,,,,,,,,,
200000,0,0,0,20,,,,,,0,,,,,,,,,
201000,0,0,0,20.1,,,,,,0,,,,,,,,,
202000,0,0,0,20.2,,,,,,0,,,,,,,,,
203000,0,0,0,20.3,,,,,,0,,,,,,,,,
204000,0,0,0,20.4,,,,,,0,,,,,,,,,
205000,0,0,0,20.5,,,,,,0,,,,,,,,,
206000,0,0,0,20.6,,,,,,0,,,,,,,,,
207000,0,0,0,20.7,,,,,,0,,,,,,,,,
208000,0,0,0,20.8,,,,,,0,,,,,,,,,
209000,0,0,0,20.9,,,,,,0,,,,,,,,,
210000,0,0,0,21,,,,,,0,,,,,,,,,
211000,0,0,0,21.1,,,,,,0,,,,,,,,,
212000,0,0,0,21.2,,,,,,0,,,,,,,,,
213000,0,0,0,21.3,,,,,,0,,,,,,,,,
214000,0,0,0,21.4,,,,,,0,,,,,,,,,
215000,0,0,0,21.5,,,,,,0,,,,,,,,,
216000,0,0,0,21.6,,,,,,0,,,,,,,,,
217000,0,0,0,21.7,,,,,,0,,,,,,,,,
218000,0,0,0,21.8,,,,,,0,,,,,,,,,
219000,0,0,0,21.9,,,,,,0,,,,,,,,,
220000,0,0,0,22,,,,,,0,,,,,,,,,
221000,0,0,0,22.1,,,,,,0,,,,,,,,,
222000,0,0,0,22.2,,,,,,0,,,,,,,,,
223000,0,0,0,22.3,,,,,,0,,,,,,,,,
224000,0,0,0,22.4,,,,,,0,,,,,,,,,
225000,0,0,0,22.5,,,,,,0,,,,,,,,,
226000,0,0,0,22.6,,,,,,0,,,,,,,,,
227000,0,0,0,22.7,,,,,,0,,,,,,,,,
228000,0,0,0,22.8,,,,,,0,,,,,,,,,
229000,0,0,0,22.9,,,,,,0,,,,,,,,,
230000,0,0,0,23,,,,,,0,,,,,,,,,
231000,0,0,0,23.1,,,,,,0,,,,,,,,,
232000,0,0,0,23.2,,,,,,0,,,,,,,,,
233000,0,0,0,23.3,,,,,,0,,,,,,,,,
234000,0,0,0,23.4,,,,,,0,,,,,,,,,
235000,0,0,0,23.5,,,,,,0,,,,,,,,,
236000,0,0,0,23.6,,,,,,0,,,,,,,,,
237000,0,0,0,23.7,,,,,,0,,,,,,,,,
238000,0,0,0,23.8,,,,,,0,,,,,,,,,
239000,0,0,0,23.9,,,,,,0,,,,,,,,,
240000,0,0,0,24,,,,,,0,,,,,,,,,
241000,0,0,0,24.1,,,,,,0,,,,,,,,,
242000,0,0,0,24.2,,,,,,0,,,,,,,,,
243000,0,0,0,24.3,,,,,,0,,,,,,,,,
244000,0,0,0,24.4,,,,,,0,,,,,,,,,
245000,0,0,0,24.5,,,,,,0,,,,,,,,,
246000,0,0,0,24.6,,,,,,0,,,,,,,,,
247000,0,0,0,24.7,,,,,,0,,,,,,,,,
248000,0,0,0,24.8,,,,,,0,,,,,,,,,
249000,0,0,0,24.9,,,,,,0,,,,,,,,,
250000,0,0,0,25,,,,,,0,,,,,,,,,
251000,0,0,0,25.1,,,,,,0,,,,,,,,,
252000,0,0,0,25.2,,,,,,0,,,,,,,,,
253000,0,0,0,25.3,,,,,,0,,,,,,,,,
254000,0,0,0,25.4,,,,,,0,,,,,,,,,
255000,0,0,0,25.5,,,,,,0,,,,,,,,,
256000,0,0,0,25.6,,,,,,0,,,,,,,,,
257000,0,0,0,25.7,,,,,,0,,,,,,,,,
258000,0,0,0,25.8,,,,,,0,,,,,,,,,
259000,0,0,0,25.9,,,,,,0,,,,,,,,,
260000,0,0,0,26,,,,,,0,,,,,,,,,
261000,0,0,0,26.1,,,,,,0,,,,,,,,,
262000,0,0,0,26.2,,,,,,0,,,,,,,,,
263000,0,0,0,26.3,,,,,,0,,,,,,,,,
264000,0,0,0,26.4,,,,,,0,,,,,,,,,
265000,0,0,0,26.5,,,,,,0,,,,,,,,,
266000,0,0,0,26.6,,,,,,0,,,,,,,,,
267000,0,0,0,26.7,,,,,,0,,,,,,,,,
268000,0,0,0,26.8,,,,,,0,,,,,,,,,
269000,0,0,0,26.9,,,,,,0,,,,,,,,,
270000,0,0,0,27,,,,,,0,,,,,,,,,
271000,0,0,0,27.1,,,,,,0,,,,,,,,,
272000,0,0,0,27.2,,,,,,0,,,,,,,,,
273000,0,0,0,27.3,,,,,,0,,,,,,,,,
274000,0,0,0,27.4,,,,,,0,,,,,,,,,
275000,0,0,0,27.5,,,,,,0,,,,,,,,,
276000,0,0,0,27.6,,,,,,0,,,,,,,,,
277000,0,0,0,27.7,,,,,,0,,,,,,,,,
278000,0,0,0,27.8,,,,,,0,,,,,,,,,
279000,0,0,0,27.9,,,,,,0,,,,,,,,,
280000,0,0,0,28,,,,,,0,,,,,,,,,
281000,0,0,0,28.1,,,,,,0,,,,,,,,,
282000,0,0,0,28.2,,,,,,0,,,,,,,,,
283000,0,0,0,28.3,,,,,,0,,,,,,,,,
284000,0,0,0,28.4,,,,,,0,,,,,,,,,
285000,0,0,0,28.5,,,,,,0,,,,,,,,,
286000,0,0,0,28.6,,,,,,0,,,,,,,,,
287000,0,0,0,28.7,,,,,,0,,,,,,,,,
288000,0,0,0,28.8,,,,,,0,,,,,,,,,
289000,0,0,0,28.9,,,,,,0,,,,,,,,,
290000,0,0,0,29,,,,,,0,,,,,,,,,
291000,0,0,0,29.1,,,,,,0,,,,,,,,,
292000,0,0,0,29.2,,,,,,0,,,,,,,,,
293000,0,0,0,29.3,,,,,,0,,,,,,,,,
294000,0,0,0,29.4,,,,,,0,,,,,,,,,
295000,0,0,0,29.5,,,,,,0,,,,,,,,,
296000,0,0,0,29.6,,,,,,0,,,,,,,,,
297000,0,0,0,29.7,,,,,,0,,,,,,,,,
298000,0,0,0,29.8,,,,,,0,,,,,,,,,
299000,0,0,0,29.9,,,,,,0,,,,,,,,,
300000,0,0,0,40,,,,,,0,,,,,,,,,
600000,0,0,0,40,,,,,,100,,,,,,,,,
615000,0,0,0,40,,,,,,0,,,,,,,,,
900000,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
